Mouse,Genotype,Date,Selected Behavior,Fiber Connection,Sham,Total Time Spent In Stim (minutes),All Other,Locomotion,Left Turns,Right Turns,Face Groom,All Other Groom
AD6,D2,50923,Right Turn,Bilateral,n,29.92,1127.7,279.35,169.74,128.1,55.5,35.04
AD6,D2,51123,locomotion,Bilateral,n,29.99,1131.2,304.59,161.26,140.3,53.64,8.32
AD6,D2,51223,Face Groom,Bilateral,n,29.92,1127.7,279.35,169.74,128.1,55.5,35.04
AD6,D2,52223,Right Turn,Ipsilateral,n,30.06,1170.0,292.33,119.49,155.02,60.84,6.12
AD6,D2,52423,Right Turn,Contralateral,n,29.94,1416.96,113.1,76.02,72.91,52.44,64.68
AD6,D2,60723,Right Turn,Bilateral,y,30.03,1530.45,92.48,83.8,53.76,20.8,20.7
AD6,D2,60823,locomotion,Bilateral,y,29.59,1615.28,13.64,13.94,10.26,77.76,44.65
AD6,D2,61223,Face Groom,Bilateral,y,20.33,1144.26,7.2,11.4,6.3,32.6,18.0
AD6,D2,61523,Right Turn,Ipsilateral,y,29.11,1543.48,34.92,21.66,15.12,79.86,51.66
AD6,D2,71023,Right Turn,Contralateral,y,29.88,1705.68,33.6,28.8,21.25,2.1,1.65
AD6,D2,71823,Right Turn,Bilateral,y,29.88,1705.68,33.6,28.8,21.25,2.1,1.65
AD6,D2,71823,Right Turn,Bilateral,y,30.01,1513.35,110.76,60.48,63.48,42.18,10.08
AD6,D2,72023,Right Turn,Bilateral,n,30.05,1472.25,127.6,86.24,72.22,36.0,8.8
AD6,D2,72423,locomotion,Bilateral,y,30.1,1398.15,180.18,91.98,95.76,35.25,4.94
AD6,D2,72723,locomotion,Bilateral,n,29.99,1478.7,136.53,82.4,69.72,25.3,6.56
AD6,D2,100123,Face Groom,Bilateral,n,29.87,1357.4,195.65,94.76,91.96,36.38,15.99
AD6,D2,100423,Right Turn,Ipsilateral,n,29.99,1436.64,146.88,107.8,92.4,12.76,2.72
AD10,D1,60823,Right Turn,Bilateral,y,29.62,1490.0,169.84,40.86,26.25,22.47,27.93
AD10,D1,61523,Right Turn,Bilateral,n,29.75,1328.6,172.35,45.8,30.59,62.66,144.9
AD10,D1,62623,locomotion,Bilateral,n,29.97,1477.8,221.02,41.8,34.01,20.13,3.38
AD10,D1,62723,Face Groom,Bilateral,n,29.51,1305.36,128.52,26.8,19.08,157.89,133.1
AD10,D1,62923,locomotion,Bilateral,y,29.59,1359.49,86.24,29.92,12.96,104.25,182.56
