Key,Total Bouts,Average Duration (seconds),Result(seconds)
Locomotion,4199,0.312,1310.088
Ipsi-Orient,2388,0.132,315.216
Dive/Scrunch,482,0.12,57.839999999999996
Face Groom Type 1,345,0.189,65.205
Contra-Orient,1873,0.123,230.379
Investigate Type 2,4172,0.283,1180.676
Investigate Type 1,541,0.243,131.463
Investigate Type 3,581,0.192,111.552
insignificant,2546,0.134,341.16400000000004
Contra-Itch,764,0.149,113.836
Ipsi-Itch Type 1,228,0.104,23.712
Ipsi-Body Groom,72,0.107,7.704
Contra-Body Groom,40,0.11,4.4
Paw-Groom,33,0.121,3.993
Head Groom,60,0.143,8.58
Rear,8,0.125,1.0
Face Groom Type 2,13,0.238,3.094
