Mouse,Genotype,Session Number,Real Time Stim Count During 30 min Stim Period,Bout Count,Total Stim Count,Average Duration ,Stim Count During 30 minute Stim Period ,Real Time Accuracy ,Real Time Time Period (minutes),sham y/n,behavior
AD6,D2,1,498,240,1033,0.439,719,85.00,34,n,rt-bil
AD6,D2,2,318,235,1055,0.4489,461,73.27,34.48,n,rt-bil
AD6,D2,1,682,956,5232,0.547,2594,86.65,26.8,n,locomotion
AD6,D2,1,198,180,1214,0.6744,341,68.00,37.7,n,face-groom
AD6,D2,1,324,448,1912,0.42678,912,0.89,41.5,n,rt-ipsi
AD6,D2,1,228,138,584,0.4231,448,0.49,33.1,n,rt-contra
AD6,D2,1,408,208,909,0.437,293,0.51,48.34,y,rt-bil
AD6,D2,2,206,168,762,0.4535714,357,80.10,28.539,y,rt-bil
AD6,D2,1,237,64,391,0.6109375,95,71.53,32,y,locomotion
AD6,D2,2,777,513,3198,0.62339,1485,86.23,43.29,y,locomotion
AD6,D2,1,352,83,441,0.531325,153,0.18,25.77,y,face-groom
AD6,D2,1,95,24,90,0.375,61,0.04,25,y,rt-ipsi
AD6,D2,1,,73,334,0.4575342,210,,,y,rt-contra
AD10,D1,1,95,72,290,0.40277777,141,18.95,40.318,n,rt-bil
AD10,D1,2,102,50,212,0.424,114,23.52,25.456,n,rt-bil
AD10,D1,1,740,402,3083,0.766915,1807,25.14,46.372,n,locomotion
AD10,D1,1,216,140,1702,1.215714,1325,77.77,32.599,n,face-groom
AD10,D1,1,86,175,1387,0.79257,168,24.42,30.248,n,rt-ipsi
AD10,D1,1,149,35,140,0.4,97,13.42,31.366,n,rt-contra
AD10,D1,1,164,51,223,0.437254,137,15.24,38.163,y,rt-bil
AD10,D1,2,130,69,320,0.463768,242,33.08,29.0423,y,rt-bil
AD10,D1,1,268,261,2207,0.8455938,738,83.96,24.788,y,locomotion
AD10,D1,1,756,227,1573,0.69295154,1171,64.95,54.322,y,face-groom
AD10,D1,1,138,47,206,0.4382978,161,15.22,35.85,y,rt-ipsi
AD10,D1,1,91,42,182,0.433333,149,19.78,36.622,y,rt-contra
AD11,D1,1,469,201,910,0.452736,541,51.81,45.312,n,rt-bil
AD11,D1,2,87,27,99,0.3666,49,20.68,35.641,n,rt-bil
AD11,D1,1,470,441,2413,0.54716,1165,86.59,27.976,n,locomotion
AD11,D1,2,60,27,245,0.9074,120,33.33,29.444,n,locomotion
AD11,D1,1,322,231,1113,0.481818,553,75.16,31.35,n,face-groom
AD11,D1,1,324,144,552,0.3833333333,324,46.29,46.83,n,rt-ipsi
AD11,D1,1,166,22,89,0.404545,42,10.84,66.04,n,rt-contra
AD11,D1,1,237,164,649,0.395731,295,83.12,26.175,y,rt-bil
AD11,D1,2,105,29,116,0.4,46,28.57,32.644,y,rt-bil
AD11,D1,1,352,330,2166,0.656363,938,85.79,28.175,y,locomotion
AD11,D1,1,84,116,635,0.547413,299,59.52,24.22,y,face-groom
AD11,D1,1,284,104,409,0.3932692,155,25.00,49.32,y,rt-ipsi
AD11,D1,1,147,68,277,0.4073529,92,33.33,42.96,y,rt-contra
